E_A_max,E_B_max,k_A,k_B,D_1,D_2,bvp1_S3_yield,bvp2_S3_yield
7.230007232,2.769992768,269.3323848,12.05314716,7.08E-08,7.55E-06,0.99308861,0.994926769
6.735121513,3.264878487,7.099004678,158.3002654,4.84E-07,9.07E-07,0.995772531,0.999228775
4.594892017,5.405107983,3.470227798,1.810517667,2.38E-06,3.07E-07,0.33136354,0.252564146
3.177932495,6.822067505,36.16205355,223.6296836,2.25E-06,2.15E-08,999,999
1.771127697,8.228872303,1.163732786,9.474724399,2.07E-07,5.72E-08,0.197495368,-0.020509617
8.220819172,1.779180828,0.36230443,0.290687862,2.68E-07,7.66E-08,-0.35461198,-0.381315359
4.646210319,5.353789681,8.156598706,0.194194349,9.64E-06,1.97E-06,-0.682659737,-0.681809389
2.618906918,7.381093082,4.651119248,233.3312159,1.06E-06,4.27E-06,0.882216468,0.891355862
3.447652993,6.552347007,0.851686498,0.166829047,2.78E-06,5.07E-06,-0.335945326,-0.335286741
5.633756552,4.366243448,2.951530262,1.32570149,5.10E-06,8.99E-06,0.069342186,0.075294912
2.414182264,7.585817736,2.921257224,2.170301957,2.31E-06,8.85E-06,0.40863849,0.411781918
7.852914273,2.147085727,2.041654535,0.492014363,3.59E-08,7.23E-06,-0.498220339,-0.653633401
7.068156239,2.931843761,3.295006828,1.801247866,4.86E-07,1.64E-08,-0.061307167,-0.525177107
6.755703648,3.244296352,55.33161951,93.49109941,2.02E-08,2.59E-08,0.838962195,-0.18349994
4.456744318,5.543255682,1.53994744,0.114480462,9.09E-07,8.19E-08,-0.585832116,-0.620269978
6.018470726,3.981529274,624.3551622,203.5605887,7.35E-06,4.56E-07,999,999
5.672783751,4.327216249,462.7986444,266.8038513,3.45E-07,1.95E-08,999,999
6.198772812,3.801227188,8.387677295,3.083516614,1.99E-07,3.45E-06,0.587287413,0.688493787
1.675554569,8.324445431,2.057997392,0.411577473,1.28E-08,7.08E-07,-0.106777235,-0.172662895
4.326459217,5.673540783,13.85923182,25.3140499,7.57E-06,4.24E-07,0.999749245,0.993704331
1.332913391,8.667086609,247.8802669,0.301085765,2.04E-08,3.13E-08,-0.503101293,-0.543520695
4.951926554,5.048073446,40.77081211,2.881890294,1.33E-08,5.75E-08,0.106661363,-0.009516476
3.638889699,6.361110301,165.0316766,681.8937716,5.47E-08,3.03E-08,0.999127822,-0.003192459
2.156193511,7.843806489,13.5172736,959.0867482,1.57E-08,3.60E-06,0.597740757,0.876157829
1.827223742,8.172776258,34.01500327,122.5799854,2.32E-07,5.66E-07,0.991792907,0.999174723
5.701156577,4.298843423,1.421092858,1.75325885,3.53E-07,1.60E-06,0.070027783,0.075973091
2.364743748,7.635256252,87.01069733,56.31968235,8.66E-08,7.73E-08,0.985037612,0.583357575
8.400960947,1.599039053,0.645087123,66.31709013,1.42E-08,1.30E-07,0.234438363,0.200669868
5.648489118,4.351510882,60.14402865,3.559317916,2.16E-08,1.64E-07,0.475015963,0.501400988
3.774958436,6.225041564,277.2530123,36.60619074,1.42E-07,1.91E-06,1.000199457,1.000199989
5.727323932,4.272676068,0.337606927,0.110385132,1.52E-08,2.08E-06,-0.174895952,-0.24942475
1.182430968,8.817569032,28.67602578,0.685852355,1.24E-06,4.17E-08,0.068531807,-0.254666096
8.668473706,1.331526294,0.240094932,12.59949713,4.18E-08,6.68E-06,0.11601893,0.140600086
4.858427496,5.141572504,79.95810873,0.451861372,8.06E-08,2.30E-08,-0.483481249,-0.575207875
7.261881818,2.738118182,0.217757376,0.460922036,1.52E-07,4.88E-06,-0.188728139,-0.196224259
1.661839999,8.338160001,554.3183949,221.420161,1.78E-07,2.00E-08,999,999
4.893266647,5.106733353,0.354512637,904.7571226,1.01E-08,6.22E-08,0.150779899,0.015785541
4.925655955,5.074344045,684.7325662,16.74471315,2.17E-08,3.46E-06,1.000081782,1.000190457
8.50261164,1.49738836,159.7852566,227.132313,3.88E-06,3.46E-08,999,999
5.573824419,4.426175581,23.69889069,914.7168037,1.01E-08,1.74E-07,0.776861325,0.809588882
4.787915208,5.212084792,135.0505691,0.368454236,3.35E-07,2.24E-07,-0.420535725,-0.421642269
3.135805305,6.864194695,151.5162998,6.208439495,2.94E-07,5.44E-08,0.766366365,0.281197534
3.652551979,6.347448021,608.2866025,3.717841436,9.98E-08,1.35E-06,0.955869982,0.955584815
5.16537922,4.83462078,1.031652453,0.209024472,1.97E-07,3.58E-06,-0.459181824,-0.492366408
4.511291682,5.488708318,22.9246958,105.0317717,2.20E-06,4.20E-06,1.000199415,1.000199963
1.172896639,8.827103361,0.239992014,5.433955897,3.34E-06,1.04E-07,0.031057262,0.007032173
7.610335394,2.389664606,29.15162711,7.538895732,6.04E-08,3.91E-07,0.731909719,0.778289887
8.169286175,1.830713825,0.484356594,0.400582429,9.28E-08,5.56E-08,-0.356655845,-0.433113873
2.121992712,7.878007288,18.18873292,0.529305746,5.34E-08,5.42E-08,-0.239915286,-0.346177403
5.432289148,4.567710852,19.48597119,425.0250123,2.75E-07,3.05E-08,0.997553531,0.042781102
1.868605929,8.131394071,7.310391099,0.15086773,1.12E-06,6.61E-06,-0.640816049,-0.64400252
6.377920744,3.622079256,12.31762851,0.853904181,4.84E-08,4.61E-06,-0.312085883,-0.217313143
3.249870271,6.750129729,113.6824854,1.473117271,9.82E-08,2.15E-06,0.593512537,0.649256591
