E_A_max,E_B_max,k_A,k_B,D_1,D_2,bvp1_S3_yield,bvp2_S3_yield
6.275381078,3.724618922,157.3906272,9.136716922,6.18E-06,3.57E-07,0.971670727,0.937003016
6.815956914,3.184043086,9.302782395,22.17076568,1.40E-08,2.96E-07,0.585765915,0.78175583
7.149179935,2.850820065,25.02498156,9.400693721,2.41E-07,3.88E-07,0.91524146,0.897494778
1.861927568,8.138072432,530.8171462,0.217000802,1.36E-06,4.07E-07,-0.436516817,-0.439772443
8.328094761,1.671905239,0.301255063,0.943343402,2.83E-08,2.01E-07,-0.18480531,-0.250337002
2.841711927,7.158288073,0.294045315,236.7846467,1.39E-08,2.48E-08,0.098122882,-0.050675686
1.299300449,8.700699551,0.224303499,35.51033766,2.60E-08,2.38E-08,0.03684518,-0.021371257
5.438819755,4.561180245,42.80092354,39.49991859,5.71E-06,7.19E-06,1.0002,1.0002
3.967378271,6.032621729,4.72534153,47.95269515,1.07E-08,2.79E-07,0.410515366,0.593340304
7.638317945,2.361682055,125.108168,112.6191062,3.67E-08,7.24E-06,0.999643169,1.000199959
7.466011777,2.533988223,48.40894893,0.170778788,1.24E-08,3.10E-08,-0.83393274,-0.872248413
3.537111143,6.462888857,2.160483895,2.927072906,2.15E-08,4.61E-07,0.194164781,0.290986993
8.623195161,1.376804839,392.1626146,14.39162191,7.25E-07,4.20E-08,999,999
3.327342705,6.672657295,112.2350717,2.258530362,5.31E-08,5.75E-08,0.329348356,0.10616074
5.120457034,4.879542966,1.208202593,238.7346698,5.10E-07,1.23E-08,0.57497923,-0.361271646
3.047720725,6.952279275,2.862648804,8.517066425,5.90E-07,2.27E-08,0.410854943,-0.296813563
8.48834856,1.51165144,1.810339056,118.7163014,3.53E-06,5.63E-06,0.930370677,0.931590308
2.316862541,7.683137459,0.427018405,255.8951575,1.03E-08,9.22E-08,0.107738065,0.039746422
1.359284955,8.640715045,0.390061863,10.45119453,3.63E-06,6.67E-07,0.082031479,0.073409037
4.48077648,5.51922352,555.2772154,434.7193538,7.20E-07,2.48E-07,1.0002,0.990523863
