EA_max,EB_max,EA_ratio,EB_ratio,S2_yield,S3_yield,S2_final,S3_final,converged,solver_status,immobilization,decay_kA,decay_kB,enzyme_profile
6.5,3.5,0.65,0.35,0.01496174,0.832358088,14.96173983,832.3580878,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
6.7,3.3,0.67,0.33,0.015508326,0.836092719,15.50832607,836.0927186,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
6.9,3.1,0.69,0.31,0.016134756,0.839565676,16.1347556,839.5656756,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
7.1,2.9,0.71,0.29,0.016858584,0.84277049,16.85858367,842.77049,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
7.3,2.7,0.73,0.27,0.017702847,0.845694303,17.70284736,845.6943028,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
7.5,2.5,0.75,0.25,0.018698408,0.848315617,18.69840823,848.3156169,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
7.7,2.3,0.77,0.23,0.019887604,0.850600727,19.88760422,850.6007269,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
7.9,2.1,0.79,0.21,0.021330153,0.852497888,21.33015323,852.4978883,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
8.1,1.9,0.81,0.19,0.023113114,0.85392742,23.1131142,853.9274204,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
8.3,1.7,0.83,0.17,0.025368581,0.854764068,25.36858098,854.7640679,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
